"","event","ID","start_time","end_time","event_sum_mm","MI10_mmhr","MI20_mmhr","MI30_mmhr","MI60_mmhr","duration_hr","endtime_plus12","starttime_minus1","datetime_maxstage","Stage_cm_max","site","stage_rise_cm","crossover","response","lag2p_hr","response_manual","month"
"1",23,"me",2021-07-20 17:00:00,2021-07-20 18:30:00,2.49550731579463,3.84123594760894,3.49322603940963,2.32881735960642,1.47351852456729,1.5,2021-07-21 00:30:00,2021-07-20 16:00:00,2021-07-20 20:35:00,-5.7,"me",0.0999999999999996,"N","N",NA,"N",7
"2",24,"me",2021-07-21 12:20:00,2021-07-21 12:40:00,1.64378847877184,3.93069713115692,3.87149800062179,3.28757695754369,1.64378847877184,0.333333333333333,2021-07-21 18:40:00,2021-07-21 11:20:00,2021-07-21 17:25:00,-5.7,"me",0,"N","N",NA,"N",7
"3",25,"me",2021-07-23 12:40:00,2021-07-23 13:00:00,1.65318431456884,3.90794379711151,3.60172241926193,3.30636862913767,1.65318431456884,0.333333333333333,2021-07-23 19:00:00,2021-07-23 11:40:00,2021-07-23 13:45:00,-5.1,"me",0.6,"N","N",NA,"N",7
"4",26,"me",2021-07-31 12:50:00,2021-07-31 14:00:00,2.6249123086532,5.45133233070373,4.38566650152206,3.69678377310435,2.21555192768574,1.16666666666667,2021-07-31 20:00:00,2021-07-31 11:50:00,2021-07-31 19:30:00,-5.5,"me",0.0999999999999996,"N","N",NA,"N",7
"5",27,"me",2021-08-03 09:40:00,2021-08-03 19:00:00,11.790581731995,8.31885228157043,8.21001629829406,8.05694969495137,6.45509090820948,9.33333333333333,2021-08-04 01:00:00,2021-08-03 08:40:00,2021-08-03 10:55:00,29.6,"me",35.2,"N","Y",1.25,"Y",8
"6",28,"me",2021-08-06 18:20:00,2021-08-06 19:50:00,4.8953727717201,14.7211659908295,10.1670933768153,6.77806225121022,3.38903112560511,1.5,2021-08-07 01:50:00,2021-08-06 17:20:00,2021-08-06 17:30:00,8,"me",0,"N","N",NA,"N",8
"7",29,"me",2021-08-14 18:10:00,2021-08-14 18:30:00,1.98149736523628,5.99891750812531,4.34607092738152,3.96299473047257,1.98149736523628,0.333333333333333,2021-08-15 00:30:00,2021-08-14 17:10:00,2021-08-14 17:15:00,10.3,"me",0,"N","N",NA,"N",8
"8",30,"me",2021-08-18 14:00:00,2021-08-18 19:30:00,6.51411491880814,14.6520274162292,9.58594135642051,7.53464384476344,4.83081260224183,5.5,2021-08-19 01:30:00,2021-08-18 13:00:00,2021-08-18 13:20:00,11.9,"me",0.200000000000001,"N","N",NA,"N",8
"9",31,"me",2021-08-19 17:00:00,2021-08-19 17:10:00,2.27793525159359,7.16290187835693,6.83380575478077,4.55587050318718,2.27793525159359,0.166666666666667,2021-08-19 23:10:00,2021-08-19 16:00:00,2021-08-19 16:00:00,11.3,"me",0,"N","N",NA,"N",8
"10",32,"me",2021-08-26 21:00:00,2021-08-26 21:20:00,1.1811259607474,2.71197817325592,2.59752750992775,2.3622519214948,1.1811259607474,0.333333333333333,2021-08-27 03:20:00,2021-08-26 20:00:00,2021-08-26 20:50:00,9.3,"me",0.4,"N","N",NA,"N",8
"11",33,"me",2021-09-01 18:10:00,2021-09-01 18:20:00,1.3447891831398,5.3255469083786,4.0343675494194,2.6895783662796,1.3447891831398,0.166666666666667,2021-09-02 00:20:00,2021-09-01 17:10:00,2021-09-01 17:10:00,10.2,"me",0,"N","N",NA,"N",9
