datetime,tip,site
8/20/21 13:47,1,mw
8/26/21 21:07,1,mw
9/1/21 17:56,1,mw
9/1/21 18:04,1,mw
9/1/21 18:13,1,mw
9/1/21 18:16,1,mw
9/1/21 18:54,1,mw
9/1/21 19:15,1,mw
9/2/21 0:40,1,mw
9/2/21 1:08,1,mw
9/2/21 1:27,1,mw
9/2/21 4:02,1,mw
9/2/21 17:14,1,mw
9/2/21 17:18,1,mw
9/2/21 17:25,1,mw
9/2/21 17:33,1,mw
9/2/21 17:45,1,mw
9/2/21 17:49,1,mw
9/2/21 18:08,1,mw
9/2/21 19:33,1,mw
9/3/21 10:54,1,mw
9/3/21 10:56,1,mw
9/3/21 10:58,1,mw
9/3/21 11:00,1,mw
9/3/21 11:02,1,mw
9/3/21 11:04,1,mw
9/3/21 11:06,1,mw
9/3/21 11:08,1,mw
9/3/21 12:12,1,mw
9/3/21 12:13,1,mw
9/3/21 12:55,1,mw
9/3/21 12:59,1,mw
9/3/21 14:30,1,mw
9/3/21 15:42,1,mw
9/12/21 8:30,1,mw
9/12/21 8:52,1,mw
9/12/21 13:40,1,mw
9/12/21 13:41,1,mw
9/12/21 13:42,1,mw
9/12/21 13:42,1,mw
9/12/21 13:43,1,mw
9/12/21 13:43,1,mw
9/12/21 13:44,1,mw
9/12/21 13:44,1,mw
9/12/21 13:44,1,mw
9/12/21 13:45,1,mw
9/12/21 13:45,1,mw
9/12/21 13:45,1,mw
9/12/21 13:46,1,mw
9/12/21 13:47,1,mw
9/12/21 13:49,1,mw
9/12/21 13:50,1,mw
9/13/21 7:15,1,mw
9/13/21 22:16,1,mw
9/13/21 22:20,1,mw
9/13/21 22:21,1,mw
9/13/21 22:26,1,mw
9/14/21 1:09,1,mw
9/19/21 23:24,1,mw
9/19/21 23:29,1,mw
9/19/21 23:41,1,mw
9/19/21 23:45,1,mw
9/19/21 23:53,1,mw
9/19/21 23:55,1,mw
9/19/21 23:57,1,mw
9/19/21 23:59,1,mw
9/20/21 0:06,1,mw
9/20/21 0:09,1,mw
9/20/21 0:14,1,mw
9/20/21 0:55,1,mw
9/29/21 4:43,1,mw
9/29/21 7:13,1,mw
9/29/21 7:35,1,mw
9/29/21 11:45,1,mw
9/29/21 13:11,1,mw
9/29/21 13:13,1,mw
9/29/21 13:15,1,mw
9/29/21 13:17,1,mw
9/29/21 13:19,1,mw
9/29/21 14:59,1,mw
9/29/21 15:10,1,mw
9/29/21 15:18,1,mw
9/29/21 15:22,1,mw
9/29/21 15:23,1,mw
9/29/21 15:25,1,mw
9/29/21 15:26,1,mw
9/29/21 15:27,1,mw
9/29/21 15:29,1,mw
9/29/21 15:33,1,mw
9/29/21 23:59,1,mw
9/30/21 6:33,1,mw
10/8/21 15:35,1,mw
10/8/21 16:06,1,mw
10/8/21 16:19,1,mw
10/8/21 16:27,1,mw
10/8/21 16:34,1,mw
10/8/21 17:07,1,mw
10/8/21 17:38,1,mw
10/8/21 17:47,1,mw
10/8/21 23:32,1,mw
10/9/21 7:52,1,mw
10/12/21 12:45,1,mw
10/12/21 13:23,1,mw
10/12/21 16:19,1,mw
10/12/21 16:30,1,mw
10/12/21 16:38,1,mw
10/12/21 16:52,1,mw
10/12/21 17:04,1,mw
10/13/21 9:38,1,mw
10/13/21 9:44,1,mw
10/13/21 9:50,1,mw
10/13/21 9:53,1,mw
10/13/21 9:57,1,mw
10/13/21 10:02,1,mw
10/13/21 10:09,1,mw
10/13/21 10:15,1,mw
10/14/21 12:33,1,mw
10/14/21 12:35,1,mw
10/14/21 12:38,1,mw
10/14/21 12:41,1,mw
"11/1/2021 9:41	",1,mw
"11/1/2021 9:44	",1,mw
"11/1/2021 9:49	",1,mw
"11/1/2021 10:30	",1,mw
"11/1/2021 10:32	",1,mw
"11/1/2021 10:33	",1,mw
"11/1/2021 10:35	",1,mw
"11/1/2021 10:36	",1,mw
"11/1/2021 10:38	",1,mw
"11/1/2021 10:40	",1,mw
"11/1/2021 10:42	",1,mw
"11/1/2021 10:44	",1,mw
"11/1/2021 10:47	",1,mw
"11/1/2021 10:50	",1,mw
"11/1/2021 10:56	",1,mw
"11/1/2021 11:00	",1,mw
"11/1/2021 11:04	",1,mw
"11/1/2021 11:09	",1,mw
"11/1/2021 11:15	",1,mw
"11/1/2021 11:23	",1,mw
"11/2/2021 9:07	",1,mw
"11/2/2021 9:09	",1,mw
"11/2/2021 9:11	",1,mw
"11/2/2021 9:13	",1,mw
"11/2/2021 9:18	",1,mw
"11/2/2021 14:28	",1,mw
"11/2/2021 17:24	",1,mw
"11/2/2021 17:28	",1,mw
"11/4/2021 7:56	",1,mw
"11/17/2021 11:06	",1,mw
"11/17/2021 11:12	",1,mw
"11/17/2021 11:13	",1,mw
"11/17/2021 11:32	",1,mw
"11/17/2021 11:34	",1,mw
"11/17/2021 11:40	",1,mw
"11/17/2021 11:49	",1,mw
"12/9/2021 9:05	",1,mw
"12/9/2021 9:08	",1,mw
"12/9/2021 9:13	",1,mw
"12/24/2021 2:29	",1,mw
"12/24/2021 2:49	",1,mw
"12/25/2021 10:59	",1,mw
"12/25/2021 11:07	",1,mw
"12/25/2021 11:11	",1,mw
"12/25/2021 11:20	",1,mw
"12/25/2021 11:27	",1,mw
"12/25/2021 11:47	",1,mw
"12/25/2021 12:30	",1,mw
"12/25/2021 13:58	",1,mw
"12/25/2021 14:07	",1,mw
"12/27/2021 12:34	",1,mw
"12/28/2021 14:19	",1,mw
"12/28/2021 14:38	",1,mw
"12/28/2021 14:44	",1,mw
"12/30/2021 11:00	",1,mw
"1/2/2022 11:59	",1,mw
"1/2/2022 12:00	",1,mw
"1/2/2022 12:01	",1,mw
"1/2/2022 12:02	",1,mw
"1/2/2022 12:03	",1,mw
"1/2/2022 12:06	",1,mw
"1/2/2022 12:08	",1,mw
"1/2/2022 12:17	",1,mw
"1/2/2022 12:19	",1,mw
"1/2/2022 12:25	",1,mw
"1/2/2022 12:29	",1,mw
"1/2/2022 12:35	",1,mw
"1/2/2022 12:38	",1,mw
"1/2/2022 12:42	",1,mw
"1/2/2022 12:46	",1,mw
"1/2/2022 12:50	",1,mw
"1/2/2022 12:55	",1,mw
"1/2/2022 13:03	",1,mw
"1/2/2022 13:14	",1,mw
"1/2/2022 13:23	",1,mw
"1/2/2022 13:32	",1,mw
"1/2/2022 13:43	",1,mw
"1/2/2022 13:53	",1,mw
"1/2/2022 14:02	",1,mw
"1/2/2022 14:11	",1,mw
"1/6/2022 13:23	",1,mw
"1/6/2022 13:25	",1,mw
"1/6/2022 13:26	",1,mw
"1/6/2022 13:27	",1,mw
"1/6/2022 13:28	",1,mw
"1/6/2022 13:29	",1,mw
"1/6/2022 13:30	",1,mw
"1/6/2022 13:31	",1,mw
"1/6/2022 13:33	",1,mw
"1/6/2022 13:34	",1,mw
"1/6/2022 13:36	",1,mw
"1/6/2022 13:37	",1,mw
"1/6/2022 13:40	",1,mw
"1/6/2022 13:42	",1,mw
"1/6/2022 13:45	",1,mw
"1/6/2022 13:47	",1,mw
"1/6/2022 13:52	",1,mw
"1/6/2022 13:55	",1,mw
"1/6/2022 14:02	",1,mw
"1/6/2022 14:07	",1,mw
"1/8/2022 11:44	",1,mw
"1/8/2022 12:05	",1,mw
"1/22/2022 10:42	",1,mw
"1/22/2022 11:15	",1,mw
"1/22/2022 11:17	",1,mw
"1/22/2022 11:18	",1,mw
"1/22/2022 11:19	",1,mw
"1/22/2022 11:22	",1,mw
