site,type,y,x,burn_status,region,stream_sensor_type
p1,baro,40.3452,-106.098462,unburned,etf,
HUm,baro,40.32426,-106.077859,burned,etf,
MUb,baro,40.249387,-106.083121,unburned,etf,
tunnel,baro,40.66988344,-105.8099604,burned,cpf,
dry,baro,40.70672394,-105.6393929,burned,cpf,
bighorn,baro,40.407357,-105.592487,unburned,cpf,
u_w,rain,40.66005439,-105.5578187,burned,bennett,
u_m,rain,40.65444226,-105.5587228,burned,bennett,
u_e,rain,40.65742355,-105.5461262,burned,bennett,
m_w,rain,40.65542297,-105.5380118,burned,bennett,
m_e,rain,40.64609596,-105.5329463,burned,bennett,
m_m,rain,40.64708286,-105.5457988,burned,bennett,
p1,rain,40.345395,-106.098527,unburned,etf,
HUm2,rain,40.31789501,-106.0633882,burned,etf,
MUb,rain,40.249418,-106.083132,unburned,etf,
LPm,rain,40.201413,-106.034351,burned,etf,
willowcr_upper,rain,40.278231,-106.087894,unknown,etf,
drowsy,rain,40.153303,-106.053439,unknown,etf,
michigan,rain,40.49608651,-105.8639734,unburned,cpf,
montgomery,rain,40.54368283,-105.8817328,unburned,cpf,
bl4,rain,40.59079764,-105.8610908,burned,cpf,
aspen,rain,40.61459241,-105.8190635,burned,cpf,
tunnel,rain,40.66986026,-105.8098402,burned,cpf,
dry,rain,40.70672394,-105.6393929,burned,cpf,
bighorn,rain,40.407387,-105.59248,unburned,cpf,
dadd,rain,40.69736392,-105.5401549,unburned,cpf,
mtcampus,rain,40.569077,-105.588255,,cpf,
u_w,stream,40.66039395,-105.560857,burned,bennett,cap_rod
u_m,stream,40.65766455,-105.5555571,burned,bennett,cap_rod
u_e,stream,40.6573273,-105.5454499,burned,bennett,cap_rod
m_w,stream,40.65478438,-105.5397333,burned,bennett,cap_rod
m_m,stream,40.65315058,-105.5335843,burned,bennett,cap_rod
m_e,stream,40.64588047,-105.5324039,burned,bennett,cap_rod
m_m_upper,stream,40.64918059,-105.5382072,burned,bennett,cap_rod
m_e_upper,stream,40.64066288,-105.5406341,burned,bennett,cap_rod
m_w_upper,stream,40.65156727,-105.5480623,burned,bennett,cap_rod
u_e_upper,stream,40.65461076,-105.5515173,burned,bennett,cap_rod
u_w_upper,stream,40.65483,-105.56546,burned,bennett,cap_rod
u_m_lower,stream,40.65869,-105.55195,burned,bennett,cap_rod
p1,stream,40.3452,-106.098462,unburned,etf,pt
p2,stream,40.337208,-106.072687,mixed,etf,pt
HUm,stream,40.32426,-106.077859,burned,etf,pt
HM,stream,40.321445,-106.070121,burned,etf,pt
MUm,stream,40.279308,-106.086882,burned,etf,pt
MPm,stream,40.268823,-106.082001,burned,etf,pt
MM,stream,40.25589193,-106.0773263,burned,etf,camera
MUb,stream,40.249387,-106.083121,unburned,etf,pt
LUm1,stream,40.204827,-106.035977,burned,etf,camera
LPm,stream,40.201312,-106.034341,burned,etf,camera
LM1,stream,40.192783,-106.028374,burned,etf,camera
LM2,stream,40.194417,-106.028657,burned,etf,camera
michigan,stream,40.49609409,-105.8650119,unburned,cpf,usgs
montgomery,stream,40.54369047,-105.8813543,burned,cpf,cap_rod
bl4,stream,40.59084518,-105.860852,burned,cpf,cap_rod
aspen,stream,40.61450618,-105.8195706,burned,cpf,cap_rod
tunnel,stream,40.66994494,-105.8102038,burned,cpf,pt
washout,stream,40.70163039,-105.6726382,burned,cpf,pt
dry,stream,40.70631594,-105.6392187,burned,cpf,pt
bighorn,stream,40.410026,-105.594516,unburned,cpf,pt
dadd,stream,40.69748204,-105.5396808,burned,cpf,cap_rod
mtcampus,stream,40.567604,-105.590778,,cpf,pt
