...1,event_IDs,event,ID,start_time,end_time,event_sum_mm,MI10_mmhr,MI20_mmhr,MI30_mmhr,MI60_mmhr,duration_hr,year,datetime_maxstage,Stage_cm_max,site,stage_rise_cm,lag2p_hr,response_manual,month,Area_km2,stage_cm_norm_area,time_since_laststorm_hr,response_p10,response_stage4,dNBR_mean,sand_mean,Ksat_mean,Mean_slope,%slope_above30,%slope_above40,snow_persi,%treated,geology,silt_mean,clay_mean,fire,NDVI,site_numeric,last_storm_hr
1,uw_24_2021,24,uw,2021-07-20T16:10:00Z,2021-07-20T18:00:00Z,4.90012442270915,5.85145688056946,5.37256009578705,4.2632303237915,3.75726592540741,1.83333333333333,2021,2021-07-20T17:25:00Z,0.5,uw,0.2,NA,0,7,1,0.2,NA,0,0,747,67.8694726,61.28721205,14.3,0.006443,6.56e-4,56.84,0,1,20.03951303,12.09101436,1,0.223270714,13,96.16666666666667
2,um_23_2021,23,um,2021-07-20T16:20:00Z,2021-07-20T18:10:00Z,4.04874596082502,4.63725794156393,4.47420014937719,3.60375986761517,3.0197694554925,1.83333333333333,2021,2021-07-20T22:30:00Z,-5.3,um,0,NA,0,7,0.54,0,NA,0,0,689,68.11317504,56.08989924,13.77,0.006222,8.18e-4,55.54,0,1,19.77437849,12.11244647,1,0.238237713,12,96.33333333333333
3,mw_24_2021,24,mw,2021-07-20T16:50:00Z,2021-07-20T18:10:00Z,2.63111865719159,3.85511028766632,3.46749864220619,3.0750390013059,1.53751950065295,1.33333333333333,2021,2021-07-21T00:10:00Z,-5.4,mw,0,NA,0,7,1.4,0,NA,0,0,525,69.58462866,37.4483216,15.94,0.032557,0.002303,55.86,0.209152234,1,18.76497122,11.65040012,1,0.243858164,8,96.83333333333333
4,ue_25_2021,25,ue,2021-07-20T16:50:00Z,2021-07-20T18:10:00Z,3.3790129383405,6.64915776252746,5.77170672416687,4.72429041067759,2.3621452053388,1.33333333333333,2021,2021-07-21T06:10:00Z,-5.4,ue,0,NA,0,7,0.43,0,NA,0,0,840,70.47944595,49.80123982,15.75,0.014071,0.001093,52.38,0,1,18.1781449,11.34240915,1,0.21247815,11,96.83333333333333
5,me_23_2021,23,me,2021-07-20T17:00:00Z,2021-07-20T18:30:00Z,2.49550731579463,3.84123594760894,3.49322603940963,2.32881735960642,1.47351852456729,1.5,2021,2021-07-20T20:35:00Z,-5.7,me,0.0999999999999996,NA,0,7,1.33,0.0751879699248118,NA,0,0,749,69.91843268,34.28457587,14.6,0.021832,0.001979,53.09,0.343282554,1,18.4470073,11.63456002,1,0.260085715,3,96.83333333333333
6,mm_25_2021,25,mm,2021-07-20T17:00:00Z,2021-07-20T18:10:00Z,1.93346433242162,2.88296320438385,2.78447786569595,2.0106100877126,1.26147396961848,1.16666666666667,2021,2021-07-21T00:10:00Z,-5.6,mm,0,NA,0,7,0.63,0,NA,0,0,370,70.85234157,25.31789688,16.22,0.028116,0.00376,51.75,0.359792038,1,17.78420179,11.36345665,1,0.225404921,4,121.83333333333333
7,me_24_2021,24,me,2021-07-21T12:20:00Z,2021-07-21T12:40:00Z,1.64378847877184,3.93069713115692,3.87149800062179,3.28757695754369,1.64378847877184,0.333333333333333,2021,2021-07-21T17:25:00Z,-5.7,me,0,NA,0,7,1.33,0,19.3333333333333,0,0,749,69.91843268,34.28457587,14.6,0.021832,0.001979,53.09,0.343282554,1,18.4470073,11.63456002,1,0.260085715,3,17.833333333333332
8,mw_25_2021,25,mw,2021-07-21T12:20:00Z,2021-07-21T15:40:00Z,1.73803802877665,2.85270663499832,2.80282980203629,2.80202789604664,1.40101394802332,3.33333333333333,2021,2021-07-21T21:40:00Z,-5.4,mw,0,NA,0,7,1.4,0,19.5,0,0,525,69.58462866,37.4483216,15.94,0.032557,0.002303,55.86,0.209152234,1,18.76497122,11.65040012,1,0.243858164,8,18.166666666666668
9,ue_26_2021,26,ue,2021-07-21T12:20:00Z,2021-07-21T15:40:00Z,1.12996171514193,2.67138175964355,1.33569087982178,1.5045362830162,0.752268141508102,3.33333333333333,2021,2021-07-22T03:40:00Z,-5.4,ue,0,NA,0,7,0.43,0,19.5,0,0,840,70.47944595,49.80123982,15.75,0.014071,0.001093,52.38,0,1,18.1781449,11.34240915,1,0.21247815,11,18.166666666666668
10,uw_25_2021,25,uw,2021-07-21T12:20:00Z,2021-07-21T15:40:00Z,1.35542304515839,3.96028304100037,3.11732964515686,2.07821976343791,1.03910988171895,3.33333333333333,2021,2021-07-21T18:00:00Z,0.1,uw,0.1,NA,0,7,1,0.1,20.1666666666667,0,0,747,67.8694726,61.28721205,14.3,0.006443,6.56e-4,56.84,0,1,20.03951303,12.09101436,1,0.223270714,13,18.333333333333332
11,ue_27_2021,27,ue,2021-07-23T11:00:00Z,2021-07-23T12:50:00Z,1.29318807572126,2.8164733171463,2.81520348787308,1.87680232524872,0.938401162624358,1.83333333333333,2021,2021-07-24T00:50:00Z,-5.4,ue,0,NA,0,7,0.43,0,46.6666666666667,0,0,840,70.47944595,49.80123982,15.75,0.014071,0.001093,52.38,0,1,18.1781449,11.34240915,1,0.21247815,11,43.333333333333336
12,um_24_2021,24,um,2021-07-23T11:00:00Z,2021-07-23T12:50:00Z,1.51398585504956,2.93903399308522,2.10205878019333,1.40137252012888,0.813299594985113,1.83333333333333,2021,2021-07-23T18:45:00Z,-5.3,um,0.100000000000001,NA,0,7,0.54,0.185185185185186,66.6666666666667,0,0,689,68.11317504,56.08989924,13.77,0.006222,8.18e-4,55.54,0,1,19.77437849,12.11244647,1,0.238237713,12,64.83333333333333
13,uw_26_2021,26,uw,2021-07-23T11:00:00Z,2021-07-23T12:50:00Z,2.00833504597346,3.49609410762787,2.71963424682617,1.81308949788411,1.31080429553986,1.83333333333333,2021,2021-07-23T12:35:00Z,0,uw,0.1,NA,0,7,1,0.1,46.6666666666667,0,0,747,67.8694726,61.28721205,14.3,0.006443,6.56e-4,56.84,0,1,20.03951303,12.09101436,1,0.223270714,13,43.333333333333336
